id,family,genus,species,location,weight,tl,sl,delta15N,troph
MOO18_F061,Balistidae,Melichthys,Melichthys niger,Moorea,203.4,210,150,9.1,2.73
MOO18_F062,Chaetodontidae,Chaetodon,Chaetodon ornatissimus,Moorea,83.1,138,120,9.96,3.34
MOO18_F064,Chaetodontidae,Chaetodon,Chaetodon ornatissimus,Moorea,93,141,120,9.3,3.34
MOO18_F066,Acanthuridae,Naso,Naso lituratus,Moorea,225.4,220,180,6.32,2.32
MOO18_F067,Acanthuridae,Acanthurus,Acanthurus guttatus,Moorea,206.9,198,165,6.85,2
MOO18_F068,Monacanthidae,Cantherhines,Cantherhines sandwichiensis,Moorea,66.1,145,130,8.74,2.66
MOO18_F069,Balistidae,Melichthys,Melichthys vidua,Moorea,310,225,180,9.83,3.38
MOO18_F070,Serranidae,Cephalopholis,Cephalopholis argus,Moorea,154.2,210,183,11.28,4.16
MOO18_F072,Zanclidae,Zanclus,Zanclus cornutus,Moorea,127,170,140,9.39,2.49
MOO18_F074,Zanclidae,Zanclus,Zanclus cornutus,Moorea,76.4,146,125,9.48,2.49
MOO18_F075,Acanthuridae,Acanthurus,Acanthurus triostegus,Moorea,71.3,155,120,7.74,2.78
MOO18_F076,Serranidae,Epinephelus,Epinephelus hexagonatus,Moorea,96,182,159,11.49,4.05
MOO18_F077,Chaetodontidae,Chaetodon,Chaetodon reticulatus,Moorea,53.5,118,92,9.32,2.63
MOO18_F079,Acanthuridae,Acanthurus,Acanthurus lineatus,Moorea,70.8,160,120,6.15,2
MOO18_F080,Cirrhitidae,Paracirrhites,Paracirrhites hemistictus,Moorea,93.7,162,141,11.54,3.83
MOO18_F082,Chaetodontidae,Chaetodon,Chaetodon auriga,Moorea,130.5,190,150,11.93,3.13
MOO18_F083,Cirrhitidae,Paracirrhites,Paracirrhites hemistictus,Moorea,174.6,210,180,11.42,3.83
MOO18_F084,Zanclidae,Zanclus,Zanclus cornutus,Moorea,98.1,170,125,8.67,2.49
MOO18_F085,Balistidae,Melichthys,Melichthys niger,Moorea,204.1,224,192,9.38,2.73
MOO18_F087,Cirrhitidae,Paracirrhites,Paracirrhites hemistictus,Moorea,142.3,202,170,11.53,3.83
MOO18_F089,Balistidae,Melichthys,Melichthys vidua,Moorea,160,180,150,9.57,3.38
MOO18_F090,Lutjanidae,Lutjanus,Lutjanus fulvus,Moorea,207.9,239,182,10.78,3.66
MOO18_F091,Holocentridae,Sargocentron,Sargocentron tiere,Moorea,163.2,221,183,11.17,4.18
MOO18_F093,Mullidae,Parupeneus,Parupeneus insularis,Moorea,93.3,187,148,10.25,3.88
MOO18_F095,Acanthuridae,Acanthurus,Acanthurus achilles,Moorea,163.8,210,150,7.41,2
MOO18_F096,Acanthuridae,Naso,Naso lituratus,Moorea,292,323,189,7.54,2.32
MOO18_F097,Acanthuridae,Acanthurus,Acanthurus olivaceus,Moorea,154.4,230,180,7.1,2.26
MOO18_F100,Acanthuridae,Acanthurus,Acanthurus achilles,Moorea,211.6,215,160,7.42,2
MOO18_F101,Acanthuridae,Acanthurus,Acanthurus guttatus,Moorea,126.6,161,126,8,2
