column_name,description,unit
id,individual fish id,NA
family,taxonomic family,NA
genus,taxonomic genus,NA
species,taxonomic name,NA
location,location in French Polynesia,NA
sitename,name of the collection site,NA
habitat,type of habitat,NA
lat,latitude,NA
long,longitude,NA
date,date of collection,NA
weight,body weight,g
tl,total length,mm
sl,standard length,mm
intestine_length,intestinal length,mm
intestine_diameter,average intestinal diameter,mm
intestine_surface,intestinal surface,mm2
trophic_guild_predicted,trophic guild predicted by Parravicini et al. (2020) (https://doi.org/10.1371/journal.pbio.3000702),NA
