family,genus,species,stomach,durophagy,notes
Acanthuridae,Acanthurus,Acanthurus achilles,1,0,
Acanthuridae,Acanthurus,Acanthurus guttatus,1,0,
Acanthuridae,Acanthurus,Acanthurus lineatus,1,0,
Acanthuridae,Acanthurus,Acanthurus nigricans,1,0,
Acanthuridae,Acanthurus,Acanthurus nigrofuscus,1,0,
Acanthuridae,Acanthurus,Acanthurus nigroris,1,0,
Acanthuridae,Acanthurus,Acanthurus olivaceus,1,0,gizzard-like (Sorenson et al. 2013)
Acanthuridae,Acanthurus,Acanthurus pyroferus,1,0,gizzard-like (Sorenson et al. 2013)
Acanthuridae,Acanthurus,Acanthurus thompsoni,1,0,
Acanthuridae,Acanthurus,Acanthurus triostegus,1,0,
Acanthuridae,Ctenochaetus,Ctenochaetus flavicauda,1,0,gizzard-like (Sorenson et al. 2013)
Acanthuridae,Ctenochaetus,Ctenochaetus striatus,1,0,gizzard-like (Sorenson et al. 2013)
Acanthuridae,Naso,Naso brevirostris,1,0,
Acanthuridae,Naso,Naso lituratus,1,0,
Acanthuridae,Naso,Naso unicornis,1,0,
Acanthuridae,Naso,Naso vlamingii,1,0,
Acanthuridae,Zebrasoma,Zebrasoma scopas,1,0,
Acanthuridae,Zebrasoma,Zebrasoma velifer,1,0,
Apogonidae,Cheilodipterus ,Cheilodipterus macrodon,1,0,
Apogonidae,Pristiapogon,Pristiapogon fraenatus,1,0,
Aulostomidae,Aulostomus,Aulostomus chinensis,1,0,
Balistidae,Balistapus,Balistapus undulatus,0,1,functional stomach absent
Balistidae,Balistoides,Balistoides viridescens,0,1,functional stomach absent
Balistidae,Melichthys,Melichthys niger,0,1,functional stomach absent
Balistidae,Melichthys,Melichthys vidua,0,1,functional stomach absent
Balistidae,Odonus,Odonus niger,0,1,functional stomach absent
Balistidae,Pseudobalistes,Pseudobalistes flavimarginatus,0,1,functional stomach absent
Balistidae,Pseudobalistes,Pseudobalistes fuscus,0,1,functional stomach absent
Balistidae,Rhinecanthus,Rhinecanthus aculeatus,0,1,functional stomach absent
Balistidae,Rhinecanthus,Rhinecanthus lunula,0,1,functional stomach absent
Balistidae,Rhinecanthus,Rhinecanthus rectangulus,0,1,functional stomach absent
Balistidae,Sufflamen,Sufflamen bursa,0,1,functional stomach absent
Blenniidae,Exallias,Exallias brevis,1,0,
Bothidae,Bothus,Bothus mancus,1,0,
Caesionidae,Pterocaesio,Pterocaesio tile,1,0,
Carangidae,Caranx,Caranx melampygus,1,0,
Carangidae,Elagatis,Elagatis bipinnulata,1,0,
Carangidae,Scomberoides,Scomberoides lysan,1,0,
Carangidae,Trachinotus,Trachinotus baillonii,1,0,
Chaetodontidae,Chaetodon,Chaetodon auriga,1,0,
Chaetodontidae,Chaetodon,Chaetodon bennetti,1,0,
Chaetodontidae,Chaetodon,Chaetodon citrinellus,1,0,
Chaetodontidae,Chaetodon,Chaetodon ephippium,1,0,
Chaetodontidae,Chaetodon,Chaetodon lunula,1,0,
Chaetodontidae,Chaetodon,Chaetodon lunulatus,1,0,
Chaetodontidae,Chaetodon,Chaetodon mertensii,1,0,
